# 入力電圧V_i[V],出力電圧V_o[V],入力電流I_i [A],出力電流I_o [A],入力電力 [W],出力電力 [W],電力変換効率
V_i,V_o,I_i,I_o,P_i,P_o,eta
16.00,16.00,0.224,0.041,3.584,0.656,0.1830357143
15.00,14.98,0.210,0.038,3.15,0.56924,0.1807111111
14.00,13.90,0.195,0.035,2.73,0.4865,0.1782051282
12.00,11.96,0.168,0.031,2.016,0.37076,0.1839087302
10.00,9.88,0.139,0.025,1.39,0.247,0.1776978417
8.00,7.82,0.110,0.020,0.88,0.1564,0.1777272727
5.98,5.80,0.080,0.014,0.4784,0.0812,0.1697324415
4.00,3.80,0.053,0.010,0.212,0.038,0.179245283
2.00,1.80,0.028,0.003,0.056,0.0054,0.09642857143
0.20,0.18,0.003,0.000,0.0006,0,0
